time,ax,ay,az,atotal
0.6031811237335205,-0.14,0.12,0.16,0.24
0.612163782119751,-0.1,0.15,0.14,0.22
0.6243228912353516,-0.03,0.13,0.08,0.15
0.6331050395965576,0.01,0.08,0.02,0.08
0.6431479454040527,0.02,0.04,0.03,0.05
0.6523089408874512,0.0,0.06,0.12,0.13
0.6656858921051025,-0.03,0.07,0.2,0.21
0.6731619834899902,-0.04,0.07,0.25,0.26
0.682844877243042,-0.04,0.05,0.26,0.26
0.6940178871154785,-0.03,0.03,0.22,0.22
0.7031810283660889,-0.01,0.01,0.17,0.17
0.7122459411621094,0.01,0.01,0.1,0.1
0.7236700057983398,0.0,0.01,0.08,0.08
0.7332699298858643,-0.03,0.03,0.11,0.11
0.7431581020355225,-0.06,0.07,0.14,0.16
0.7519829273223877,-0.1,0.11,0.14,0.2
0.7655351161956787,-0.13,0.14,0.09,0.21
0.7730019092559814,-0.09,0.12,0.04,0.15
0.7832489013671875,-0.03,0.08,0.03,0.09
0.793644905090332,0.04,0.05,0.06,0.08
0.803048849105835,0.11,0.04,0.04,0.12
0.8121769428253174,0.16,0.04,0.04,0.16
0.8237369060516357,0.15,0.04,0.06,0.16
0.8325598239898682,0.1,0.02,0.07,0.12
0.8434479236602783,0.04,0.01,0.09,0.09
0.8524301052093506,0.0,0.02,0.15,0.15
0.8675100803375244,-0.01,0.03,0.21,0.21
0.8732399940490723,0.0,0.05,0.22,0.22
0.8822369575500488,0.01,0.1,0.21,0.23
0.8937108516693115,0.01,0.14,0.19,0.23
0.9029219150543213,0.02,0.17,0.19,0.25
0.9123928546905518,0.04,0.15,0.2,0.25
0.9233369827270508,0.04,0.11,0.18,0.21
0.9324829578399658,0.04,0.09,0.18,0.2
0.9429600238800049,0.06,0.07,0.16,0.18
0.9519178867340088,0.05,0.04,0.15,0.16
0.9656739234924316,0.02,0.0,0.17,0.17
0.972707986831665,-0.01,-0.03,0.23,0.23
0.9827320575714111,-0.02,-0.04,0.31,0.31
0.9935529232025146,-0.01,-0.03,0.32,0.32
1.0027389526367188,-0.01,0.0,0.24,0.24
1.0113260746002197,-0.04,0.0,0.13,0.13
1.0235888957977295,-0.01,0.0,0.03,0.03
1.0326759815216064,0.06,0.02,0.01,0.06
1.0428340435028076,0.09,0.06,0.06,0.12
1.0519459247589111,0.06,0.11,0.07,0.14
1.0656068325042725,0.0,0.11,0.04,0.11
1.0727660655975342,-0.04,0.06,-0.02,0.07
1.082758903503418,-0.08,0.07,0.02,0.1
1.0936579704284668,-0.08,0.07,0.07,0.12
1.103039026260376,-0.11,0.09,0.12,0.18
1.1118390560150146,-0.13,0.13,0.15,0.23
1.123478889465332,-0.13,0.11,0.14,0.22
1.1325700283050537,-0.11,0.03,0.05,0.12
1.1430790424346924,-0.07,0.01,-0.02,0.07
1.1518380641937256,-0.04,0.05,-0.01,0.06
1.1650140285491943,-0.01,0.07,0.01,0.07
1.1725599765777588,0.0,0.07,0.03,0.07
1.1826109886169434,-0.01,0.07,0.05,0.08
1.194025993347168,-0.01,0.06,0.04,0.07
1.2028119564056396,-0.05,0.05,0.03,0.07
1.2120029926300049,-0.1,0.02,0.04,0.1
1.2240660190582275,-0.09,0.03,0.02,0.09
1.2327468395233154,-0.04,0.03,0.03,0.05
1.2434508800506592,0.0,0.06,0.04,0.07
1.2518818378448486,-0.01,0.1,0.06,0.11
1.2657299041748047,-0.05,0.09,0.04,0.11
1.2730119228363037,-0.08,0.08,0.05,0.12
1.2826759815216064,-0.08,0.11,0.1,0.16
1.2931249141693115,-0.04,0.12,0.15,0.19
1.302522897720337,-0.01,0.11,0.15,0.18
1.311763048171997,0.01,0.09,0.13,0.15
1.323538064956665,-0.02,0.08,0.09,0.12
1.3326327800750732,-0.04,0.08,0.07,0.11
1.3425700664520264,-0.06,0.09,0.05,0.11
1.3518619537353516,-0.09,0.1,0.02,0.13
1.3662219047546387,-0.06,0.1,0.03,0.12
1.3724191188812256,0.0,0.07,0.08,0.1
1.382572889328003,0.05,0.02,0.18,0.18
1.3932697772979736,0.06,0.0,0.28,0.28
1.4018259048461914,0.08,-0.03,0.3,0.31
1.4120690822601318,0.08,0.0,0.27,0.28
1.42470383644104,0.06,0.05,0.2,0.21
1.432365894317627,0.0,0.09,0.12,0.15
1.4425528049468994,-0.07,0.14,0.08,0.17
1.451556921005249,-0.06,0.12,0.07,0.15
1.4660639762878418,0.0,0.06,0.1,0.11
1.4722588062286377,0.03,0.03,0.17,0.17
1.4822759628295898,0.05,0.01,0.22,0.22
1.492913007736206,0.08,0.01,0.21,0.22
1.5023300647735596,0.04,0.01,0.19,0.19
1.5118858814239502,0.0,-0.01,0.18,0.18
1.522947072982788,-0.01,-0.01,0.22,0.22
1.5322678089141846,0.01,-0.02,0.29,0.29
1.5424330234527588,0.06,0.02,0.3,0.3
1.551527976989746,0.04,0.04,0.19,0.19
1.5656697750091553,0.0,0.07,0.01,0.07
1.5722367763519287,-0.02,0.11,-0.14,0.17
1.5821788311004639,0.0,0.13,-0.2,0.23
1.592573881149292,0.0,0.15,-0.19,0.24
1.6022779941558838,0.02,0.18,-0.15,0.23
1.6110098361968994,0.05,0.17,-0.06,0.18
1.6237339973449707,0.03,0.12,0.02,0.12
1.6320440769195557,0.03,0.03,0.13,0.13
1.642120122909546,0.04,-0.02,0.18,0.18
1.6513187885284424,0.05,-0.04,0.14,0.15
1.6658799648284912,0.02,0.0,0.05,0.05
1.6719448566436768,-0.02,0.03,0.02,0.04
1.6825158596038818,-0.05,0.05,0.05,0.08
1.6929678916931152,-0.04,0.08,0.14,0.16
1.7024848461151123,-0.03,0.1,0.18,0.2
1.7116329669952393,0.0,0.1,0.12,0.15
1.723201036453247,0.06,0.1,0.04,0.12
1.7322328090667725,0.09,0.1,0.01,0.13
1.7433497905731201,0.08,0.1,0.05,0.13
1.751626968383789,0.01,0.08,0.12,0.14
1.765561819076538,-0.07,0.04,0.22,0.23
1.7724239826202393,-0.12,0.01,0.3,0.32
1.7815930843353271,-0.14,0.0,0.34,0.36
1.7935187816619873,-0.11,-0.01,0.3,0.31
1.8020761013031006,-0.09,0.01,0.23,0.24
1.8111240863800049,-0.06,0.03,0.16,0.17
1.8232579231262207,-0.01,0.03,0.11,0.11
1.8351349830627441,0.05,0.05,-0.06,0.09
1.8422000408172607,-0.1,0.27,-0.06,0.29
1.8514420986175537,-0.08,0.27,0.02,0.28
1.8649389743804932,0.25,-0.02,0.1,0.26
1.8719871044158936,-0.01,-0.09,0.09,0.12
1.882836103439331,-0.29,0.06,0.06,0.3
