time,gFx,gFy,gFz,gFTotal
2.7443480491638184,0.063,-0.897,-0.522,1.04
2.754621982574463,0.06,-0.907,-0.517,1.046
2.765929937362671,0.063,-0.913,-0.496,1.041
2.774746894836426,0.074,-0.92,-0.483,1.042
2.7863450050354004,0.089,-0.94,-0.486,1.062
2.795870780944824,0.1,-0.958,-0.486,1.079
2.806260108947754,0.115,-0.974,-0.484,1.094
2.8158750534057617,0.152,-1.021,-0.471,1.135
2.8285999298095703,0.155,-0.982,-0.488,1.107
2.840141773223877,0.133,-0.951,-0.497,1.081
2.844614028930664,0.107,-0.896,-0.519,1.041
2.8547589778900146,0.106,-0.874,-0.528,1.027
2.8650307655334473,0.103,-0.87,-0.522,1.02
2.8753879070281982,0.104,-0.86,-0.508,1.004
2.886509895324707,0.093,-0.837,-0.504,0.981
2.8963208198547363,0.081,-0.81,-0.503,0.957
2.9082648754119873,0.062,-0.781,-0.513,0.936
2.9164929389953613,0.039,-0.747,-0.553,0.93
2.938511848449707,0.009,-0.707,-0.592,0.922
2.9398019313812256,0.009,-0.707,-0.592,0.922
2.9453377723693848,-0.003,-0.683,-0.581,0.897
2.9553050994873047,-0.022,-0.667,-0.566,0.875
2.9652259349823,-0.049,-0.653,-0.597,0.886
2.97666597366333,-0.101,-0.606,-0.697,0.929
2.986501932144165,-0.124,-0.61,-0.653,0.902
2.9955320358276367,-0.142,-0.643,-0.772,1.015
3.0074028968811035,-0.178,-0.606,-0.831,1.044
3.0167949199676514,-0.149,-0.642,-0.645,0.922
3.0417919158935547,-0.04,-0.845,-0.544,1.006
3.0430479049682617,-0.04,-0.845,-0.544,1.006
3.0457499027252197,0.025,-0.891,-0.595,1.072
3.0557548999786377,0.064,-0.875,-0.653,1.094
3.066037893295288,0.078,-0.839,-0.683,1.085
3.077691078186035,0.089,-0.817,-0.699,1.079
3.0871939659118652,0.101,-0.802,-0.709,1.075
3.097032070159912,0.122,-0.787,-0.703,1.062
3.1077358722686768,0.126,-0.769,-0.685,1.038
3.1171538829803467,0.113,-0.745,-0.67,1.008
3.142119884490967,0.089,-0.703,-0.694,0.992
3.1433489322662354,0.089,-0.703,-0.694,0.992
3.1461057662963867,0.081,-0.697,-0.71,0.998
3.156132936477661,0.082,-0.707,-0.705,1.002
3.166461944580078,0.083,-0.734,-0.692,1.012
3.1789050102233887,0.076,-0.756,-0.678,1.018
3.1877028942108154,0.068,-0.762,-0.673,1.019
3.197309970855713,0.057,-0.758,-0.661,1.007
3.2094779014587402,0.037,-0.75,-0.624,0.976
3.217741012573242,0.011,-0.742,-0.623,0.969
3.2400498390197754,0.015,-0.743,-0.688,1.013
3.241283893585205,0.015,-0.743,-0.688,1.013
